,spacing,phi,Sw,h,RF,compl_bbl_per_ft,compl_sd_conc,compl_lbs_sd_per_ft,eurpft
0,369.41742133031465,0.06498440832740422,0.26584089201479144,403.3969029532792,0.05880672410545887,45.7745669018781,40,1830.9826760751241,57.278921396728364
1,373.4107691702422,0.04819174851273273,0.30058835228340575,396.4736078961368,0.04738953426983999,35.51389766209477,40,1420.5559064837907,32.397213553211635
2,374.9455992335252,0.06882344478099463,0.31378098843726016,439.8099835164874,0.04401437683315365,32.54043321874647,40,1301.6173287498589,46.961894177870896
3,383.8851302528638,0.05179427107408835,0.2845823101127258,355.83109231825114,0.07527341881044358,64.80371003035616,40,2592.1484012142464,52.19714836846942
4,395.8539132764404,0.06297531554247393,0.2657703894009771,458.19222906621064,0.06137546774324472,45.36915360792942,50,2268.457680396471,70.51772225269497
5,397.52445775604383,0.05468616141741567,0.22202598390066935,429.85284957763395,0.05683835312190114,46.03459210819018,40,1841.3836843276072,56.60909784332673
6,398.9612641823459,0.05859126575206021,0.23690122988613632,430.395710516866,0.07404810231044817,66.39128276451046,40,2655.651310580419,77.88337883543814
7,401.4322648220153,0.06313680683989564,0.3378351051106834,438.3936570308453,0.04451444459868312,35.76706873723086,40,1430.6827494892343,44.86883719635095
8,401.5727676990823,0.06912537760375471,0.32333368627075376,447.8951560677987,0.04669430655800883,34.027523773058505,50,1701.3761886529253,53.81894435408745
9,401.5888254776647,0.05733428432711352,0.24410280600312265,355.2815517315607,0.08198386002541362,74.09507993535082,40,2963.803197414033,69.45097064863445
10,402.64227906941414,0.07089074432291122,0.29368770459895094,432.258791581458,0.043966840890312664,35.54071838999414,40,1421.6287355997656,52.49202500551624
11,403.60706351651845,0.05469237017660222,0.3783509667078136,362.77205730330655,0.044629390552084605,34.19237263089288,40,1367.6949052357154,30.437158193018785
12,410.2323469184388,0.06295664958501283,0.34502716975305253,428.94996659075935,0.058700808711317096,45.26498825700037,50,2263.2494128500184,58.35311828631124
13,410.83508157317794,0.060925616970127765,0.30177905320544957,322.7539073407441,0.06696225262954199,66.23389436572613,30,1987.016830971784,51.74643633868111
14,411.7601186606557,0.05556976059713535,0.2,325.04534268874187,0.038097050020895716,33.928444993755164,30,1017.8533498126549,31.054650145535597
15,411.9268976754801,0.059720141771744645,0.270386647539043,368.2778812191052,0.06285637903323471,54.39413180926409,40,2175.7652723705637,56.92162649131103
16,412.8161535900907,0.05432967067944129,0.27678713872157434,395.6602354486094,0.07498225891886469,65.2551534475025,40,2610.2061379000997,65.92640182895164
